timestamp,event_type,severity,symbol,context,action,ttr_seconds,notes
2025-08-19T16:32:08Z,validation_fail,warning,GLD,"8.4% price discrepancy","auto_pause_30m",0,"Paused scanning for GLD"
2025-08-19T21:28:22.915013+00:00,test_incident,info,TEST,"Unit test","none",0,"Test incident"
2025-08-20T12:35:06.773824+00:00,dry_run_start,info,,"Phase: Pre-market","",0,"US-FA-014 Full Automation Dry Run initiated"
2025-08-20T12:41:08.860787+00:00,dry_run_start,info,,"Phase: Pre-market","",0,"US-FA-014 Full Automation Dry Run initiated"
2025-08-20T12:49:58.920975+00:00,dry_run_start,info,,"Phase: Pre-market","",0,"US-FA-014 Full Automation Dry Run initiated"
2025-08-20T13:40:31.054950+00:00,dry_run_start,info,,"Phase: Regular session","",0,"US-FA-014 Full Automation Dry Run initiated"
2025-08-20T13:52:11.849452+00:00,dry_run_start,info,,"Phase: Regular session","",0,"US-FA-014 Full Automation Dry Run initiated"
2025-08-20T14:21:39.413063+00:00,dry_run_start,info,,"Phase: Regular session","",0,"US-FA-014 Full Automation Dry Run initiated"
2025-08-20T15:32:48.601422+00:00,dry_run_start,info,,"Phase: Regular session","",0,"US-FA-014 Full Automation Dry Run initiated"
2025-08-20T15:55:47.339350+00:00,dry_run_start,info,,"Phase: Regular session","",0,"US-FA-014 Full Automation Dry Run initiated"
2025-08-20T16:37:34.235887+00:00,test_incident,info,TEST,"Unit test","none",0,"Test incident"
2025-08-20T16:43:42.838983+00:00,dry_run_start,info,,"Phase: Regular session","",0,"US-FA-014 Full Automation Dry Run initiated"
2025-08-20T16:53:04.820163+00:00,dry_run_start,info,,"Phase: Regular session","",0,"US-FA-014 Full Automation Dry Run initiated"
2025-08-20T17:17:08.338659+00:00,dry_run_start,info,,"Phase: Regular session","",0,"US-FA-014 Full Automation Dry Run initiated"
2025-08-20T17:31:29.885145+00:00,dry_run_start,info,,"Phase: Regular session","",0,"US-FA-014 Full Automation Dry Run initiated"
2025-08-20T17:59:11.387982+00:00,dry_run_start,info,,"Phase: Regular session","",0,"US-FA-014 Full Automation Dry Run initiated"
2025-08-20T18:17:45.787495+00:00,dry_run_start,info,,"Phase: Regular session","",0,"US-FA-014 Full Automation Dry Run initiated"
2025-08-20T18:27:09.546114+00:00,dry_run_start,info,,"Phase: Regular session","",0,"US-FA-014 Full Automation Dry Run initiated"
2025-08-20T18:33:42.198944+00:00,dry_run_start,info,,"Phase: Regular session","",0,"US-FA-014 Full Automation Dry Run initiated"
2025-08-20T18:41:49.127545+00:00,dry_run_start,info,,"Phase: Regular session","",0,"US-FA-014 Full Automation Dry Run initiated"
2025-08-20T18:45:02.834821+00:00,dry_run_start,info,,"Phase: Regular session","",0,"US-FA-014 Full Automation Dry Run initiated"
2025-08-20T20:32:32.746351+00:00,dry_run_start,info,,"Phase: After-hours","",0,"US-FA-014 Full Automation Dry Run initiated"
2025-08-21T14:02:01.499905+00:00,dry_run_start,info,,"Phase: Regular session","",0,"US-FA-014 Full Automation Dry Run initiated"
2025-08-21T14:59:00.837028+00:00,dry_run_start,info,,"Phase: Regular session","",0,"US-FA-014 Full Automation Dry Run initiated"
2025-08-21T15:33:05.204052+00:00,dry_run_start,info,,"Phase: Regular session","",0,"US-FA-014 Full Automation Dry Run initiated"
2025-08-21T16:41:40.056806+00:00,dry_run_start,info,,"Phase: Regular session","",0,"US-FA-014 Full Automation Dry Run initiated"
2025-08-21T16:46:10.920251+00:00,dry_run_start,info,,"Phase: Regular session","",0,"US-FA-014 Full Automation Dry Run initiated"
2025-08-21T16:56:07.665763+00:00,dry_run_start,info,,"Phase: Regular session","",0,"US-FA-014 Full Automation Dry Run initiated"
2025-08-21T18:39:05.486058+00:00,dry_run_start,info,,"Phase: Regular session","",0,"US-FA-014 Full Automation Dry Run initiated"
2025-08-21T18:56:53.637188+00:00,dry_run_start,info,,"Phase: Regular session","",0,"US-FA-014 Full Automation Dry Run initiated"
